FijiId;FirstPoint;LastPoint;Direction;Type;Class;UTurnAllowed;ZLvlFrom;ZLvlTo;CargoFrame;Exceptions;PartnerIds;BranchSysCode;CountrySysCode;RegionSysCode;DistrictSysCode;CitySysCode;CargoPassZoneSysCode;IsBlockedCar;IsBlockedCarAnyDirection;IsBlockedBicycle;IsBlockedBicycleAnyDirection;IsBlockedPedestrian;IsBlockedPedestrianAnyDirection;IsBlockedCargo;IsBlockedCargoAnyDirection;IsBlockedCargoOnlyAnyDirection;IsBlockedCargoOnly;IsBlockedCargoDoesNotBreakCargoCarcass;CargoMaximumPermissibleMass;IsSidewalk
145162854;4567735.23_2244809.88;4567794.05_2244757.48;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162853;4566527.71_2246802.92;4566584.99_2246616.45;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162853;4566584.99_2246616.45;4566527.71_2246802.92;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162852;4567982.51_2245057.01;4568035.58_2244999.89;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162852;4568035.58_2244999.89;4567982.51_2245057.01;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162851;4568035.58_2244999.89;4567997.38_2244872.02;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162851;4567997.38_2244872.02;4568035.58_2244999.89;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162849;4567794.05_2244757.48;4567912.64_2244883.13;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162849;4567912.64_2244883.13;4567794.05_2244757.48;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162847;4567580.58_2244449.37;4567621.29_2244382.25;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162847;4567621.29_2244382.25;4567580.58_2244449.37;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162844;4567086.65_2244085.34;4567328.88_2244257.33;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162844;4567328.88_2244257.33;4567086.65_2244085.34;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162843;4566846.01_2243543.48;4566767.31_2243520.39;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162843;4566767.31_2243520.39;4566846.01_2243543.48;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162842;4566291.71_2243111.69;4566382.74_2243053.35;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162842;4566382.74_2243053.35;4566291.71_2243111.69;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162841;4566493_2243139.1;4566418.07_2243116.03;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162841;4566418.07_2243116.03;4566493_2243139.1;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162837;4566398.76_2243057.48;4566382.74_2243053.35;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162837;4566382.74_2243053.35;4566398.76_2243057.48;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162836;4566992.35_2244140.57;4567086.65_2244085.34;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162836;4567086.65_2244085.34;4566992.35_2244140.57;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162835;4567086.65_2244085.34;4567188.56_2244084.93;1;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
145162835;4567188.56_2244084.93;4567086.65_2244085.34;2;0;3;True;0;0;False;;;229;164;70030076149053560;70030076486430543;-1;-1;False;False;False;False;False;False;False;False;False;False;False;;False
